Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2025,2025-01-01,08015,Residencial,De 06:00:00 a 11:59:59 h,35377
2025,2025-01-01,08015,Residencial,De 12:00:00 a 17:59:59 h,48730
2025,2025-01-01,08015,Residencial,De 18:00:00 a 23:59:59 h,49636
2025,2025-01-01,08015,Residencial,No consta,0
2025,2025-01-01,08015,Serveis,De 00:00:00 a 05:59:59 h,35584
2025,2025-01-01,08015,Serveis,De 06:00:00 a 11:59:59 h,39255
2025,2025-01-01,08015,Serveis,De 12:00:00 a 17:59:59 h,43426
2025,2025-01-01,08015,Serveis,De 18:00:00 a 23:59:59 h,41477
2025,2025-01-01,08015,Serveis,No consta,0
2025,2025-01-01,08016,Indústria,De 00:00:00 a 05:59:59 h,367
2025,2025-01-01,08016,Indústria,De 06:00:00 a 11:59:59 h,464
2025,2025-01-01,08016,Indústria,De 12:00:00 a 17:59:59 h,694
2025,2025-01-01,08016,Indústria,De 18:00:00 a 23:59:59 h,690
2025,2025-01-01,08016,Indústria,No consta,0
2025,2025-01-01,08016,Residencial,De 00:00:00 a 05:59:59 h,39612
2025,2025-01-01,08016,Residencial,De 06:00:00 a 11:59:59 h,50520
2025,2025-01-01,08016,Residencial,De 12:00:00 a 17:59:59 h,75655
2025,2025-01-01,08016,Residencial,De 18:00:00 a 23:59:59 h,76820
2025,2025-01-01,08016,Residencial,No consta,0
2025,2025-01-01,08016,Serveis,De 00:00:00 a 05:59:59 h,21459
2025,2025-01-01,08016,Serveis,De 06:00:00 a 11:59:59 h,22732
2025,2025-01-01,08016,Serveis,De 12:00:00 a 17:59:59 h,25621
2025,2025-01-01,08016,Serveis,De 18:00:00 a 23:59:59 h,24008
2025,2025-01-01,08016,Serveis,No consta,0
2025,2025-01-01,08017,Indústria,De 00:00:00 a 05:59:59 h,511
2025,2025-01-01,08017,Indústria,De 06:00:00 a 11:59:59 h,699
2025,2025-01-01,08017,Indústria,De 12:00:00 a 17:59:59 h,599
2025,2025-01-01,08017,Indústria,De 18:00:00 a 23:59:59 h,558
2025,2025-01-01,08017,Indústria,No consta,0
2025,2025-01-01,08017,Residencial,De 00:00:00 a 05:59:59 h,31878
2025,2025-01-01,08017,Residencial,De 06:00:00 a 11:59:59 h,37689
2025,2025-01-01,08017,Residencial,De 12:00:00 a 17:59:59 h,46140
2025,2025-01-01,08017,Residencial,De 18:00:00 a 23:59:59 h,49002
2025,2025-01-01,08017,Residencial,No consta,0
2025,2025-01-01,08017,Serveis,De 00:00:00 a 05:59:59 h,40469
2025,2025-01-01,08017,Serveis,De 06:00:00 a 11:59:59 h,44941
2025,2025-01-01,08017,Serveis,De 12:00:00 a 17:59:59 h,48540
2025,2025-01-01,08017,Serveis,De 18:00:00 a 23:59:59 h,48200
2025,2025-01-01,08017,Serveis,No consta,0
2025,2025-01-01,08018,Indústria,De 00:00:00 a 05:59:59 h,2446
2025,2025-01-01,08018,Indústria,De 06:00:00 a 11:59:59 h,3604
2025,2025-01-01,08018,Indústria,De 12:00:00 a 17:59:59 h,3554
2025,2025-01-01,08018,Indústria,De 18:00:00 a 23:59:59 h,3018
2025,2025-01-01,08018,Indústria,No consta,0
2025,2025-01-01,08018,Residencial,De 00:00:00 a 05:59:59 h,42084
2025,2025-01-01,08018,Residencial,De 06:00:00 a 11:59:59 h,52914
2025,2025-01-01,08018,Residencial,De 12:00:00 a 17:59:59 h,69421
2025,2025-01-01,08018,Residencial,De 18:00:00 a 23:59:59 h,70870
2025,2025-01-01,08018,Residencial,No consta,0
2025,2025-01-01,08018,Serveis,De 00:00:00 a 05:59:59 h,49250
2025,2025-01-01,08018,Serveis,De 06:00:00 a 11:59:59 h,56086
2025,2025-01-01,08018,Serveis,De 12:00:00 a 17:59:59 h,61135
2025,2025-01-01,08018,Serveis,De 18:00:00 a 23:59:59 h,57971
2025,2025-01-01,08018,Serveis,No consta,0
2025,2025-01-01,08019,Indústria,De 00:00:00 a 05:59:59 h,815
2025,2025-01-01,08019,Indústria,De 06:00:00 a 11:59:59 h,907
2025,2025-01-01,08019,Indústria,De 12:00:00 a 17:59:59 h,992
2025,2025-01-01,08019,Indústria,De 18:00:00 a 23:59:59 h,1050
2025,2025-01-01,08019,Indústria,No consta,0
2025,2025-01-01,08019,Residencial,De 00:00:00 a 05:59:59 h,25764
2025,2025-01-01,08019,Residencial,De 06:00:00 a 11:59:59 h,31690
2025,2025-01-01,08019,Residencial,De 12:00:00 a 17:59:59 h,41834
2025,2025-01-01,08019,Residencial,De 18:00:00 a 23:59:59 h,44543
2025,2025-01-01,08019,Residencial,No consta,0
2025,2025-01-01,08019,Serveis,De 00:00:00 a 05:59:59 h,18059
2025,2025-01-01,08019,Serveis,De 06:00:00 a 11:59:59 h,20514
2025,2025-01-01,08019,Serveis,De 12:00:00 a 17:59:59 h,20832
2025,2025-01-01,08019,Serveis,De 18:00:00 a 23:59:59 h,21748
2025,2025-01-01,08019,Serveis,No consta,0
2025,2025-01-01,08020,Indústria,De 00:00:00 a 05:59:59 h,1423
2025,2025-01-01,08020,Indústria,De 06:00:00 a 11:59:59 h,1591
2025,2025-01-01,08020,Indústria,De 12:00:00 a 17:59:59 h,1564
2025,2025-01-01,08020,Indústria,De 18:00:00 a 23:59:59 h,1605
2025,2025-01-01,08020,Indústria,No consta,0
2025,2025-01-01,08020,Residencial,De 00:00:00 a 05:59:59 h,39471
2025,2025-01-01,08020,Residencial,De 06:00:00 a 11:59:59 h,50648
2025,2025-01-01,08020,Residencial,De 12:00:00 a 17:59:59 h,69537
2025,2025-01-01,08020,Residencial,De 18:00:00 a 23:59:59 h,72396
2025,2025-01-01,08020,Residencial,No consta,0
2025,2025-01-01,08020,Serveis,De 00:00:00 a 05:59:59 h,64257
2025,2025-01-01,08020,Serveis,De 06:00:00 a 11:59:59 h,61892
2025,2025-01-01,08020,Serveis,De 12:00:00 a 17:59:59 h,69017
2025,2025-01-01,08020,Serveis,De 18:00:00 a 23:59:59 h,73275
2025,2025-01-01,08020,Serveis,No consta,0
2025,2025-01-01,08021,Indústria,De 00:00:00 a 05:59:59 h,765
2025,2025-01-01,08021,Indústria,De 06:00:00 a 11:59:59 h,1009
2025,2025-01-01,08021,Indústria,De 12:00:00 a 17:59:59 h,812
2025,2025-01-01,08021,Indústria,De 18:00:00 a 23:59:59 h,722
2025,2025-01-01,08021,Indústria,No consta,0
2025,2025-01-01,08021,Residencial,De 00:00:00 a 05:59:59 h,28392
2025,2025-01-01,08021,Residencial,De 06:00:00 a 11:59:59 h,33997
2025,2025-01-01,08021,Residencial,De 12:00:00 a 17:59:59 h,44574
